date,area,amount,nationality,occupation
2026-01-03,鳥取県,10000,日本,自営業
2026-01-03,鳥取県,5000,日本,会社員
2026-01-03,その他,50000,日本,経営者
2026-01-03,関東,10000,日本,会社員
2026-01-03,関東,10000,日本,会社員
2026-01-03,中国地方（鳥取除く）,10000,日本,自営業
2026-01-03,その他,5000,日本,公務員
2026-01-03,その他,5000,日本,自営業
2026-01-04,鳥取県,10000,日本,自営業
2026-01-04,中国地方（鳥取除く）,100000,日本,自営業
2026-01-04,鳥取県,10000,日本,公務員
2026-01-04,鳥取県,10000,日本,自営業
2026-01-04,その他,5000,日本,会社員
2026-01-04,鳥取県,10000,日本,その他
2026-01-04,鳥取県,30000,日本,経営者
2026-01-04,鳥取県,3000,日本,会社員
2026-01-04,関東,49999,日本,会社員
2026-01-04,その他,10000,日本,公務員
2026-01-04,その他,5000,日本,公務員
2026-01-05,関東,20000,日本,主婦
2026-01-05,鳥取県,10000,日本,経営者
2026-01-05,鳥取県,5000,日本,会社員
2026-01-05,関東,10000,日本,自営業
2026-01-05,関東,5000,日本,主婦
2026-01-06,鳥取県,30000,日本,自営業
2026-01-06,鳥取県,50000,日本,経営者
2026-01-06,関東,10000,日本,会社員
2026-01-07,中国地方（鳥取除く）,10000,日本,主婦
2026-01-08,中国地方（鳥取除く）,5000,日本,主婦
2026-01-09,鳥取県,20000,日本,自営業
2026-01-13,鳥取県,10000,日本,公務員
2026-01-20,関東,10000,日本,会社員
2026-01-20,鳥取県,10000,日本,公務員
2026-01-23,関東,3000,日本,自営業
2026-01-30,鳥取県,3000,日本,会社員
2026-02-05,その他,5000,日本,公務員
2026-01-25,鳥取県,1000000,日本,経営者
2026-01-27,鳥取県,5000,日本,会社員
2026-01-28,鳥取県,10000,日本,会社員
2026-01-28,鳥取県,50000,日本,経営者
2026-01-28,鳥取県,20000,日本,会社員
2026-01-28,鳥取県,30000,日本,経営者
2026-01-28,鳥取県,10000,日本,自営業
2026-01-29,鳥取県,10000,日本,自営業
2026-01-29,鳥取県,10000,日本,経営者
2026-01-29,鳥取県,100000,日本,経営者
2026-01-30,鳥取県,100000,日本,経営者
2026-01-30,鳥取県,50000,日本,経営者
2026-01-30,鳥取県,30000,日本,会社員
2026-01-30,鳥取県,50000,日本,経営者
2026-01-31,鳥取県,30000,日本,自営業
2026-02-02,鳥取県,500000,日本,経営者
2026-02-03,鳥取県,10000,日本,その他
2026-02-03,鳥取県,50000,日本,経営者
2026-02-03,鳥取県,30000,日本,自営業
2026-02-06,鳥取県,10000,日本,経営者
2026-02-06,鳥取県,20000,日本,会社員
2026-02-06,鳥取県,10000,日本,自営業
2026-02-07,鳥取県,10000,日本,公務員
